epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,110.335,0.22349,0.34141,0.78136,0.99268,0.95,0.94517,0.92117,0.28108,0.28935,0.77161,0.000614,0.000614,0.000614
72,112.464,0.25463,0.37217,0.79454,0.94705,0.95,0.94267,0.92707,0.2644,0.30061,0.76713,0.0005942,0.0005942,0.0005942
73,114.395,0.21667,0.34154,0.76779,0.94656,0.95,0.94017,0.91664,0.25266,0.32001,0.76665,0.0005744,0.0005744,0.0005744
74,115.769,0.22288,0.36651,0.80944,0.9451,0.95,0.92767,0.90477,0.25127,0.32434,0.76571,0.0005546,0.0005546,0.0005546
75,117.065,0.22801,0.39884,0.76003,0.94554,0.95,0.93267,0.91464,0.24761,0.31238,0.76478,0.0005348,0.0005348,0.0005348
76,118.417,0.20933,0.35455,0.75462,0.94685,0.95,0.94017,0.90539,0.25066,0.29686,0.76595,0.000515,0.000515,0.000515
77,119.818,0.22709,0.39318,0.81293,0.9997,0.95,0.94517,0.91688,0.25157,0.29267,0.76683,0.0004952,0.0004952,0.0004952
78,121.157,0.215,0.3169,0.7917,0.99407,0.95,0.94517,0.9271,0.25415,0.27832,0.76726,0.0004754,0.0004754,0.0004754
79,122.68,0.1902,0.34002,0.76338,0.99258,0.95,0.94518,0.9271,0.25104,0.26466,0.76645,0.0004556,0.0004556,0.0004556
80,124.008,0.19496,0.33354,0.78424,0.94648,0.95,0.94268,0.92048,0.23882,0.30007,0.76487,0.0004358,0.0004358,0.0004358
81,125.944,0.19174,0.36415,0.79795,0.94478,0.95,0.94019,0.92308,0.2354,0.32564,0.76451,0.000416,0.000416,0.000416
82,127.977,0.19764,0.33093,0.77184,0.94429,0.95,0.94019,0.92761,0.23977,0.33622,0.76386,0.0003962,0.0003962,0.0003962
